epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.644,0.77519,3.10151,1.31419,0.58456,0.50638,0.54,0.47227,0.55176,1.15554,1.22099,0.00333163,0.00333163,0.00333163
2,1175.98,0.6314,1.73492,1.15712,0.81828,0.76986,0.83839,0.74713,0.52038,0.73758,1.17359,0.006533,0.006533,0.006533
3,1753.58,0.61908,1.37988,1.13776,0.75897,0.85315,0.86618,0.788,0.4381,0.59146,1.08854,0.00960237,0.00960237,0.00960237
4,2326.6,0.5745,1.11621,1.11039,0.83932,0.91638,0.89842,0.83193,0.3945,0.43264,1.03503,0.009406,0.009406,0.009406
5,2899.3,0.51886,0.94242,1.07943,0.91903,0.92334,0.93571,0.87585,0.37298,0.34758,1.0213,0.009208,0.009208,0.009208
6,3467.13,0.48906,0.85475,1.06279,0.91477,0.9474,0.94524,0.89031,0.35426,0.31948,1.00107,0.00901,0.00901,0.00901
7,4030.32,0.47186,0.80463,1.05357,0.92158,0.94271,0.93722,0.88966,0.33788,0.28022,0.99402,0.008812,0.008812,0.008812
7,604.556,0.46918,0.80677,1.05245,0.88238,0.94672,0.93587,0.89236,0.33403,0.28133,0.98036,0.008812,0.008812,0.008812
8,1200.13,0.45642,0.77773,1.04547,0.90496,0.96604,0.94722,0.90274,0.33733,0.26225,0.98113,0.008614,0.008614,0.008614
9,1789.69,0.44591,0.75101,1.0415,0.93513,0.94718,0.95379,0.90911,0.32754,0.25616,0.98114,0.008416,0.008416,0.008416
10,2374.23,0.43865,0.72883,1.03575,0.91225,0.9715,0.94883,0.90474,0.32973,0.23414,0.97293,0.008218,0.008218,0.008218
11,2964.77,0.42862,0.7083,1.03132,0.93931,0.95932,0.95779,0.91799,0.32152,0.23684,0.96625,0.00802,0.00802,0.00802
12,3549.32,0.42352,0.69113,1.02918,0.92739,0.9794,0.97393,0.93534,0.31886,0.22242,0.96452,0.007822,0.007822,0.007822
13,4127.94,0.4164,0.67789,1.02621,0.93891,0.97223,0.96743,0.93251,0.30777,0.21146,0.96045,0.007624,0.007624,0.007624
14,4711.71,0.41192,0.66659,1.02571,0.95875,0.96949,0.9752,0.94058,0.30134,0.20076,0.95526,0.007426,0.007426,0.007426
15,5299.23,0.40774,0.65709,1.02298,0.96385,0.97318,0.97928,0.94225,0.30591,0.19645,0.95684,0.007228,0.007228,0.007228
16,5893.77,0.40249,0.64181,1.01973,0.96024,0.9778,0.97763,0.94274,0.30405,0.1935,0.95668,0.00703,0.00703,0.00703
17,587.382,0.39618,0.62661,1.0163,0.96345,0.97782,0.98843,0.95324,0.30503,0.18854,0.95204,0.006832,0.006832,0.006832
18,1166.63,0.39576,0.62287,1.01769,0.97196,0.97973,0.98738,0.95297,0.29882,0.17959,0.94915,0.006634,0.006634,0.006634
19,1748.27,0.39308,0.61508,1.01629,0.97265,0.97909,0.98584,0.9521,0.29691,0.18075,0.94955,0.006436,0.006436,0.006436
20,2317.84,0.39053,0.60988,1.01485,0.97337,0.98584,0.9887,0.95543,0.29476,0.17646,0.94906,0.006238,0.006238,0.006238
21,2894.63,0.38403,0.6024,1.0129,0.97703,0.98156,0.99004,0.95694,0.29595,0.1733,0.94799,0.00604,0.00604,0.00604
22,3483.57,0.37966,0.58721,1.01101,0.98089,0.9855,0.99168,0.95979,0.29017,0.16704,0.94518,0.005842,0.005842,0.005842
23,4070.56,0.3772,0.58218,1.00891,0.9854,0.98403,0.99197,0.95977,0.29028,0.16618,0.945,0.005644,0.005644,0.005644
24,4657.96,0.37449,0.57841,1.0087,0.98732,0.98645,0.99313,0.96127,0.28934,0.1654,0.94539,0.005446,0.005446,0.005446
25,5248.36,0.37109,0.57101,1.00801,0.98894,0.9863,0.99322,0.96251,0.28882,0.1645,0.94433,0.005248,0.005248,0.005248
